regiao;municipio;atividade;produção;ano;valor
Planalto;Boa Vista do Incra;Grãos;Baixa;2017;25400
Planalto;Boa Vista do Incra;Grãos;Baixa;2018;25400
Planalto;Boa Vista do Incra;Pastagem;Baixa;2015;13022
Planalto;Boa Vista do Incra;Pastagem;Baixa;2016;14000
Planalto;Boa Vista do Incra;Pastagem;Baixa;2017;14000
Planalto;Boa Vista do Incra;Pastagem;Baixa;2018;14000
Planalto;Bom Progresso ;Grãos;Alta;2015;31183
Planalto;Bom Progresso ;Grãos;Alta;2016;35500
Planalto;Bom Progresso ;Grãos;Alta;2017;38400
Planalto;Bom Progresso ;Grãos;Alta;2018;38400
Planalto;Bom Progresso ;Grãos;Baixa;2015;22433
Planalto;Bom Progresso ;Grãos;Baixa;2016;26700
Planalto;Bom Progresso ;Grãos;Baixa;2017;25400
Planalto;Bom Progresso ;Grãos;Baixa;2018;25400
Planalto;Bom Progresso ;Pastagem;Baixa;2015;13022
Planalto;Bom Progresso ;Pastagem;Baixa;2016;14000
Planalto;Bom Progresso ;Pastagem;Baixa;2017;14000
Planalto;Bom Progresso ;Pastagem;Baixa;2018;14000
Planalto;Bozano;Grãos;Alta;2015;31183
Planalto;Bozano;Grãos;Alta;2016;35500
Planalto;Bozano;Grãos;Alta;2017;38400
Planalto;Bozano;Grãos;Alta;2018;38400
Planalto;Bozano;Grãos;Baixa;2015;22433
Planalto;Bozano;Grãos;Baixa;2016;26700
Planalto;Bozano;Grãos;Baixa;2017;25400
Planalto;Bozano;Grãos;Baixa;2018;25400
Planalto;Bozano;Pastagem;Baixa;2015;13022
Planalto;Bozano;Pastagem;Baixa;2016;14000
Planalto;Bozano;Pastagem;Baixa;2017;14000
Planalto;Bozano;Pastagem;Baixa;2018;14000
Planalto;Braga;Grãos;Alta;2015;31183
Planalto;Braga;Grãos;Alta;2016;35500
Planalto;Braga;Grãos;Alta;2017;38400
Planalto;Braga;Grãos;Alta;2018;38400
Planalto;Braga;Grãos;Baixa;2015;22433
Planalto;Braga;Grãos;Baixa;2016;26700
Planalto;Braga;Grãos;Baixa;2017;25400
Planalto;Braga;Grãos;Baixa;2018;25400
Planalto;Braga;Pastagem;Baixa;2015;13022
Planalto;Braga;Pastagem;Baixa;2016;14000
Planalto;Braga;Pastagem;Baixa;2017;14000
Planalto;Braga;Pastagem;Baixa;2018;14000
